Variante,SoftDice_vs_full,TokensIn_mean,LLM_Model,Tokens_per_Quality
v01_full,1.0,155821.0,OPENAI,155821.0
v17_sample_rows_plus_both_values,0.9030721068382264,113332.0,OPENAI,125496.06962924606
v23_fk_nullable_sample_rows_plus_sample_values,0.8914647062619526,82820.0,OPENAI,92903.28536648062
v24_full_no_numeric_stats,0.8658782450358073,130020.0,OPENAI,150159.6797764831
v05_plus_sample_values,0.8553942489624023,61986.0,OPENAI,72464.83136306953
v08_fk_plus_sample_values,0.8465718754132588,62236.0,OPENAI,73515.31725480384
v15_sample_rows_vs_sample_values,0.8396640507380169,79705.0,OPENAI,94924.86897580508
v14_nullable_plus_numeric_stats,0.8128798007965088,58140.0,OPENAI,71523.48962667164
v10_fk_plus_sample_and_frequent,0.8108026274045308,95863.0,OPENAI,118232.22663556
v07_plus_sample_rows,0.8044768142700195,44387.0,OPENAI,55174.989773044814
v25_full_no_sample_rows,0.8041641068458557,138613.0,OPENAI,172369.04609393328
v16_sample_rows_vs_frequent_values,0.8017222444216411,80342.0,OPENAI,100211.76356152918
v06_plus_frequent_values,0.7995907751719158,62623.0,OPENAI,78318.812503228
v11_fk_plus_sample_rows,0.7989222598075867,44637.0,OPENAI,55871.518726678645
v18_fk_nullable_sample_values,0.7952726769447327,65101.0,OPENAI,81859.97317310599
v20_fk_nullable_both_values,0.7922780028978984,98728.0,OPENAI,124612.82484037761
v12_nullable_plus_sample_values,0.7897448023160298,64851.0,OPENAI,82116.39989249181
v21_fk_nullable_sample_rows,0.7747948543230693,47477.0,OPENAI,61276.865398751506
v09_fk_plus_frequent_values,0.7746509981155395,62873.0,OPENAI,81163.00134247354
v00_baseline,0.7680466159184773,26668.0,OPENAI,34721.85079301309
v04_plus_numeric_stats,0.7664357797304789,55275.0,OPENAI,72119.54538374727
v03_plus_nullable,0.7542265017827351,29533.0,OPENAI,39156.67233940206
v22_fk_nullable_sample_rows_plus_frequent,0.7529517070452373,83457.0,OPENAI,110839.7779287934
v13_nullable_plus_frequent_values,0.740351795355479,65488.0,OPENAI,88455.24575050976
v19_fk_nullable_frequent_values,0.7342113049825032,65738.0,OPENAI,89535.53228326631
v02_plus_fk,0.7339926091829936,26918.0,OPENAI,36673.39379610702
v01_full,1.0,160713.0,DEEPSEEK,160713.0
v15_sample_rows_vs_sample_values,0.8449599402745566,82376.0,DEEPSEEK,97491.01238247247
v17_sample_rows_plus_both_values,0.7895601360003154,116031.0,DEEPSEEK,146956.50743942024
v24_full_no_numeric_stats,0.785257507165273,133865.0,DEEPSEEK,170472.74146189788
v07_plus_sample_rows,0.7796166721979777,47022.0,DEEPSEEK,60314.25657872427
v23_fk_nullable_sample_rows_plus_sample_values,0.7795675600369772,85491.0,DEEPSEEK,109664.64535279649
v20_fk_nullable_both_values,0.7738786506652832,101532.0,DEEPSEEK,131198.86420528026
v22_fk_nullable_sample_rows_plus_frequent,0.7705024639765422,86120.0,DEEPSEEK,111771.21946571984
v13_nullable_plus_frequent_values,0.7694304378827412,68256.0,DEEPSEEK,88709.77367079673
v16_sample_rows_vs_frequent_values,0.7610417747497559,83005.0,DEEPSEEK,109067.60016858933
v18_fk_nullable_sample_values,0.7598589777946472,67877.0,DEEPSEEK,89328.41748741415
v25_full_no_sample_rows,0.7518719506263732,142563.0,DEEPSEEK,189610.74406517347
v14_nullable_plus_numeric_stats,0.7491005603472393,60880.0,DEEPSEEK,81270.79757059531
v11_fk_plus_sample_rows,0.7483660491307575,47272.0,DEEPSEEK,63166.94892146349
